"Step","Attempt23 - Episode_Termination/base_contact","Attempt23 - Episode_Termination/base_contact__MIN","Attempt23 - Episode_Termination/base_contact__MAX"
"822","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"823","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"824","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"825","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"828","0.25","0.25","0.25"
"829","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"830","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"832","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"835","0.25","0.25","0.25"
"839","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"841","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"848","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"849","0.125","0.125","0.125"
"852","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"853","0.25","0.25","0.25"
"855","0.125","0.125","0.125"
"858","0","0","0"
"860","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"864","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"865","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"866","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"868","0.125","0.125","0.125"
"873","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"877","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"883","0.125","0.125","0.125"
"887","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"890","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"891","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"893","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"894","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"896","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"897","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"900","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"901","0.375","0.375","0.375"
"907","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"909","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"912","0.125","0.125","0.125"
"913","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"914","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"916","0.125","0.125","0.125"
"917","0.125","0.125","0.125"
"921","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"923","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"924","0.125","0.125","0.125"
"925","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"928","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"929","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"932","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"933","0.25","0.25","0.25"
"934","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"935","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"936","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"937","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"938","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"940","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"944","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"945","0.25","0.25","0.25"
"946","0.25","0.25","0.25"
