"Step","Attempt23 - Episode_Reward/payload_2_target","Attempt23 - Episode_Reward/payload_2_target__MIN","Attempt23 - Episode_Reward/payload_2_target__MAX"
"846","6.6540985107421875","6.6540985107421875","6.6540985107421875"
"847","6.464606285095215","6.464606285095215","6.464606285095215"
"849","7.379145622253418","7.379145622253418","7.379145622253418"
"851","7.437167644500732","7.437167644500732","7.437167644500732"
"854","7.401233673095703","7.401233673095703","7.401233673095703"
"855","7.11942195892334","7.11942195892334","7.11942195892334"
"859","6.77897834777832","6.77897834777832","6.77897834777832"
"861","7.307235240936279","7.307235240936279","7.307235240936279"
"862","7.398259162902832","7.398259162902832","7.398259162902832"
"863","7.485401153564453","7.485401153564453","7.485401153564453"
"865","7.380890846252441","7.380890846252441","7.380890846252441"
