"Step","exponentialNoMovement - Metrics/targetPosition/error_heading","exponentialNoMovement - Metrics/targetPosition/error_heading__MIN","exponentialNoMovement - Metrics/targetPosition/error_heading__MAX"
"328","1.3522361516952515","1.3522361516952515","1.3522361516952515"
"329","1.3633941411972046","1.3633941411972046","1.3633941411972046"
"330","1.2633179426193237","1.2633179426193237","1.2633179426193237"
"331","1.4244306087493896","1.4244306087493896","1.4244306087493896"
"332","1.3092312812805176","1.3092312812805176","1.3092312812805176"
"333","1.2266433238983154","1.2266433238983154","1.2266433238983154"
"334","1.3944065570831299","1.3944065570831299","1.3944065570831299"
"335","1.320626139640808","1.320626139640808","1.320626139640808"
"336","1.2791881561279297","1.2791881561279297","1.2791881561279297"
"337","1.177404761314392","1.177404761314392","1.177404761314392"
"338","1.4089335203170776","1.4089335203170776","1.4089335203170776"
"339","1.2056820392608643","1.2056820392608643","1.2056820392608643"
"340","1.290207862854004","1.290207862854004","1.290207862854004"
"341","1.1223015785217285","1.1223015785217285","1.1223015785217285"
"342","1.3749628067016602","1.3749628067016602","1.3749628067016602"
"343","1.3707232475280762","1.3707232475280762","1.3707232475280762"
"344","1.3630616664886475","1.3630616664886475","1.3630616664886475"
"345","1.2606431245803833","1.2606431245803833","1.2606431245803833"
"346","1.3867969512939453","1.3867969512939453","1.3867969512939453"
"347","1.3364222049713135","1.3364222049713135","1.3364222049713135"
"348","1.3474366664886475","1.3474366664886475","1.3474366664886475"
"349","1.2055764198303223","1.2055764198303223","1.2055764198303223"
"350","1.3279565572738647","1.3279565572738647","1.3279565572738647"
"351","1.2100117206573486","1.2100117206573486","1.2100117206573486"
"352","1.311532735824585","1.311532735824585","1.311532735824585"
"353","1.3284177780151367","1.3284177780151367","1.3284177780151367"
"354","1.1997888088226318","1.1997888088226318","1.1997888088226318"
"355","1.1093788146972656","1.1093788146972656","1.1093788146972656"
"356","1.2968271970748901","1.2968271970748901","1.2968271970748901"
"357","1.2894635200500488","1.2894635200500488","1.2894635200500488"
"358","1.0575549602508545","1.0575549602508545","1.0575549602508545"
"359","1.252229928970337","1.252229928970337","1.252229928970337"
"360","1.2639520168304443","1.2639520168304443","1.2639520168304443"
"361","1.3897874355316162","1.3897874355316162","1.3897874355316162"
"362","1.3871021270751953","1.3871021270751953","1.3871021270751953"
"363","1.4005879163742065","1.4005879163742065","1.4005879163742065"
"364","1.147566795349121","1.147566795349121","1.147566795349121"
"365","1.1920206546783447","1.1920206546783447","1.1920206546783447"
"366","1.4719103574752808","1.4719103574752808","1.4719103574752808"
"367","1.2492249011993408","1.2492249011993408","1.2492249011993408"
"368","1.2364996671676636","1.2364996671676636","1.2364996671676636"
"369","1.304074764251709","1.304074764251709","1.304074764251709"
"370","0.9973207712173462","0.9973207712173462","0.9973207712173462"
"371","1.193153738975525","1.193153738975525","1.193153738975525"
"372","1.279625654220581","1.279625654220581","1.279625654220581"
"373","1.4222216606140137","1.4222216606140137","1.4222216606140137"
"374","1.1946827173233032","1.1946827173233032","1.1946827173233032"
"375","1.3212528228759766","1.3212528228759766","1.3212528228759766"
"376","1.2239798307418823","1.2239798307418823","1.2239798307418823"
"377","1.0365254878997803","1.0365254878997803","1.0365254878997803"
"378","1.290532112121582","1.290532112121582","1.290532112121582"
"379","1.2670364379882812","1.2670364379882812","1.2670364379882812"
"380","1.3787386417388916","1.3787386417388916","1.3787386417388916"
"381","1.2149455547332764","1.2149455547332764","1.2149455547332764"
"382","1.2621179819107056","1.2621179819107056","1.2621179819107056"
"383","1.376928687095642","1.376928687095642","1.376928687095642"
"384","1.15205717086792","1.15205717086792","1.15205717086792"
"385","1.290834665298462","1.290834665298462","1.290834665298462"
"386","1.0770297050476074","1.0770297050476074","1.0770297050476074"
"387","1.2942864894866943","1.2942864894866943","1.2942864894866943"
"388","1.2205564975738525","1.2205564975738525","1.2205564975738525"
"389","1.2556548118591309","1.2556548118591309","1.2556548118591309"
"390","1.4154837131500244","1.4154837131500244","1.4154837131500244"
"391","1.391810417175293","1.391810417175293","1.391810417175293"
"392","1.3890022039413452","1.3890022039413452","1.3890022039413452"
"393","1.232758641242981","1.232758641242981","1.232758641242981"
"394","1.0904669761657715","1.0904669761657715","1.0904669761657715"
"395","1.302987813949585","1.302987813949585","1.302987813949585"
"396","1.3159875869750977","1.3159875869750977","1.3159875869750977"
"397","1.2119174003601074","1.2119174003601074","1.2119174003601074"
"398","1.3413023948669434","1.3413023948669434","1.3413023948669434"
"399","1.3411023616790771","1.3411023616790771","1.3411023616790771"
"400","1.4209537506103516","1.4209537506103516","1.4209537506103516"
"401","1.0822328329086304","1.0822328329086304","1.0822328329086304"
"402","1.1055171489715576","1.1055171489715576","1.1055171489715576"
"403","1.3900485038757324","1.3900485038757324","1.3900485038757324"
"404","1.1860183477401733","1.1860183477401733","1.1860183477401733"
"405","1.2743828296661377","1.2743828296661377","1.2743828296661377"
"406","0.9883076548576355","0.9883076548576355","0.9883076548576355"
"407","1.18697190284729","1.18697190284729","1.18697190284729"
"408","1.0812748670578003","1.0812748670578003","1.0812748670578003"
"409","1.2881464958190918","1.2881464958190918","1.2881464958190918"
"410","1.2943376302719116","1.2943376302719116","1.2943376302719116"
"411","1.101058840751648","1.101058840751648","1.101058840751648"
"412","1.2313109636306763","1.2313109636306763","1.2313109636306763"
"413","1.2405818700790405","1.2405818700790405","1.2405818700790405"
"414","1.2169547080993652","1.2169547080993652","1.2169547080993652"
"415","1.1820340156555176","1.1820340156555176","1.1820340156555176"
"416","1.3191955089569092","1.3191955089569092","1.3191955089569092"
"417","1.2335257530212402","1.2335257530212402","1.2335257530212402"
"418","1.2281804084777832","1.2281804084777832","1.2281804084777832"
"419","1.3558443784713745","1.3558443784713745","1.3558443784713745"
"420","1.3485549688339233","1.3485549688339233","1.3485549688339233"
"421","1.381587028503418","1.381587028503418","1.381587028503418"
"422","1.0708653926849365","1.0708653926849365","1.0708653926849365"
"423","1.2925002574920654","1.2925002574920654","1.2925002574920654"
"424","1.019010066986084","1.019010066986084","1.019010066986084"
"425","1.286290168762207","1.286290168762207","1.286290168762207"
"426","1.0434083938598633","1.0434083938598633","1.0434083938598633"
"427","1.2959904670715332","1.2959904670715332","1.2959904670715332"
"428","1.241179347038269","1.241179347038269","1.241179347038269"
"429","1.3052847385406494","1.3052847385406494","1.3052847385406494"
"430","1.1459704637527466","1.1459704637527466","1.1459704637527466"
"431","1.3241952657699585","1.3241952657699585","1.3241952657699585"
"432","1.2491692304611206","1.2491692304611206","1.2491692304611206"
"433","1.2536903619766235","1.2536903619766235","1.2536903619766235"
"434","1.1881996393203735","1.1881996393203735","1.1881996393203735"
"435","1.488093614578247","1.488093614578247","1.488093614578247"
"436","1.124631404876709","1.124631404876709","1.124631404876709"
"437","1.075028657913208","1.075028657913208","1.075028657913208"
"438","1.2434415817260742","1.2434415817260742","1.2434415817260742"
"439","1.1458985805511475","1.1458985805511475","1.1458985805511475"
"440","1.097664475440979","1.097664475440979","1.097664475440979"
"441","1.1413334608078003","1.1413334608078003","1.1413334608078003"
"442","1.0937048196792603","1.0937048196792603","1.0937048196792603"
"443","1.2737951278686523","1.2737951278686523","1.2737951278686523"
